difficulty_rank,course_name,category,ranking_row_count,unique_players,rank1_time_ms,rank2_time_ms,rank10_time_ms,rank2to5_median_time_ms,rank1_to_rank2to5_median_percent_gap,rank2_to_rank10_percent_spread,first_place_outlierness_raw,top_density_spread_raw,first_place_outlierness,top_density,first_place_difficulty,difficulty_multiplier
35,Zhanlue,normal,100,100,67702,68746,70202,68978.0,1.884730140911639,2.117941407500079,0.018671891597725553,0.020958247618551154,0.3975609756097561,0.7878048780487805,0.5284452474154371,1.0528445247415437
36,Winter World,normal,100,100,58454,58548,60749,59783.0,2.273582646183314,3.759308601489386,0.02248121946865364,0.0369036905581255,0.4609756097560976,0.6121951219512195,0.5259312638580932,1.0525931263858093
37,Athletic_VOXXXX,normal,100,100,215809,224837,239166,231610.5,7.321983791222797,6.373061373350475,0.07066332422166158,0.06178217628203956,0.8414634146341463,0.3780487804878049,0.5217073170731708,1.052170731707317
38,エンドアタック,normal,100,100,104998,106400,108847,106976.0,1.8838454065791765,2.299812030075188,0.018663207880620588,0.022737649529631133,0.3926829268292683,0.7731707317073171,0.5208388611082764,1.0520838861108277
39,slowly melt,normal,100,100,84904,85966,86998,86311.0,1.65716574013004,1.2004746062396654,0.01643584584789914,0.011933260639253726,0.35853658536585364,0.9195121951219513,0.5159095140569726,1.0515909514056974
40,Spooky,normal,100,100,63600,64350,65700,64711.0,1.7468553459119462,2.0979020979021046,0.017317732165739202,0.020761991448429225,0.3780487804878049,0.7926829268292683,0.5119410569105691,1.051194105691057
41,ミニBOXバイオーム-EASY-,kuwaty,100,100,113453,134000,144351,134676.0,18.706424686874733,7.7246268656716355,0.17148323957876588,0.07440803374054887,0.9585365853658536,0.348780487804878,0.5114579541317801,1.051145795413178
42,Chaterno,normal,100,100,239849,243154,249737,244247.5,1.833862138261999,2.7073377365784745,0.018172496789056178,0.02671337665680769,0.3829268292682927,0.7146341463414634,0.4986558265582655,1.0498655826558265
43,黄泉の国,normal,100,100,29550,29997,30055,29998.5,1.5177664974619365,0.19335266860018852,0.015063636560006578,0.0019316598293033025,0.32926829268292684,0.9975609756097561,0.4951129842180775,1.0495112984218078
44,堅焼き粘土タイムアタック,kuwaty,100,100,137903,138556,148703,145094.0,5.2145348542091075,7.323392707641685,0.050831268785144434,0.07067645207413983,0.7536585365853659,0.36341463414634145,0.4903717115773778,1.0490371711577378
